key,value,time
1993,453,0
1994,580,0
1995,553,0
1996,480,0
1997,348,0
1998,359,0
1999,439,0
2000,204,0
2001,490,0
2002,477,0
2003,482,0
2004,458,0
2005,220,0
2006,244,0
2007,356,0
2008,327,0
2009,422,0
2010,430,0
2011,386,0
2012,410,0
2013,382,0
2014,325,0
2015,291,0
2016,297,0
1993,223,1
1994,259,1
1995,260,1
1996,244,1
1997,173,1
1998,208,1
1999,204,1
2000,252,1
2001,277,1
2002,248,1
2003,307,1
2004,225,1
2005,346,1
2006,355,1
2007,218,1
2008,201,1
2009,206,1
2010,210,1
2011,230,1
2012,241,1
2013,255,1
2014,200,1
2015,179,1
2016,178,1
1993,199,2
1994,225,2
1995,202,2
1996,217,2
1997,171,2
1998,206,2
1999,201,2
2000,228,2
2001,235,2
2002,238,2
2003,233,2
2004,273,2
2005,177,2
2006,214,2
2007,197,2
2008,175,2
2009,223,2
2010,205,2
2011,218,2
2012,221,2
2013,241,2
2014,197,2
2015,164,2
2016,148,2
1993,183,3
1994,246,3
1995,199,3
1996,191,3
1997,230,3
1998,191,3
1999,244,3
2000,258,3
2001,239,3
2002,223,3
2003,252,3
2004,240,3
2005,195,3
2006,208,3
2007,187,3
2008,163,3
2009,203,3
2010,223,3
2011,231,3
2012,220,3
2013,255,3
2014,207,3
2015,152,3
2016,176,3
1993,205,4
1994,254,4
1995,238,4
1996,231,4
1997,209,4
1998,210,4
1999,264,4
2000,317,4
2001,224,4
2002,268,4
2003,252,4
2004,290,4
2005,181,4
2006,183,4
2007,158,4
2008,162,4
2009,223,4
2010,222,4
2011,225,4
2012,228,4
2013,246,4
2014,211,4
2015,189,4
2016,160,4
1993,236,5
1994,258,5
1995,234,5
1996,272,5
1997,200,5
1998,238,5
1999,287,5
2000,450,5
2001,255,5
2002,240,5
2003,279,5
2004,304,5
2005,209,5
2006,173,5
2007,205,5
2008,201,5
2009,243,5
2010,257,5
2011,245,5
2012,243,5
2013,283,5
2014,209,5
2015,190,5
2016,155,5
1993,333,6
1994,417,6
1995,377,6
1996,355,6
1997,302,6
1998,289,6
1999,352,6
2000,254,6
2001,331,6
2002,321,6
2003,307,6
2004,371,6
2005,258,6
2006,161,6
2007,194,6
2008,236,6
2009,274,6
2010,278,6
2011,310,6
2012,276,6
2013,292,6
2014,211,6
2015,208,6
2016,183,6
